end_time,artist_name,track_name,ms_played,id,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature
2021-02-15 06:55,Miley Cyrus,Mother's Daughter,146358,2WyRfGeHo97VC5mP1BBSzr,0.00464,0.681,0.865,1,0.00169,0.149,-4.132,0,0.0594,0.528,91.017,4
2021-02-15 12:30,RAC,Oakland,24490,0VXfZi7XhfJnuBvF6XiypU,0.159,0.496,0.693,5,0.0261,0.142,-9.576,0,0.247,0.597,129.929,4
2021-02-16 01:22,Maroon 5,Don't Know Nothing,8693,3fZjgGsSzffzKqs6e1pV8y,0.142,0.345,0.76,8,1.08e-06,0.164,-5.017,1,0.0538,0.271,174.705,3
2021-02-16 01:23,Dua Lipa,We're Good,52618,7c8H6t64ADk7PkntXL9PIR,0.0439,0.703,0.615,0,2.08e-05,0.102,-8.662,0,0.21,0.206,119.971,4
2021-02-16 01:27,The Weeknd,Save Your Tears,215627,5QO79kh1waicV47BqGRL3g,0.0212,0.68,0.826,0,1.24e-05,0.543,-5.487,1,0.0309,0.644,118.051,4
2021-02-16 01:31,PUBLIC,Make You Mine,232906,5iFwAOB2TFkPJk8sMlxP8g,0.0128,0.606,0.799,9,0.0,0.15,-4.452,1,0.0261,0.638,103.014,4
2021-02-16 01:51,Quinn XCII,My Wife & 2 Dogs,16927,5Ofdnu8hv625HP7OXoE2nj,0.084,0.845,0.563,10,0.0,0.0846,-5.133,1,0.103,0.762,148.013,4
2021-02-16 11:59,Bella Coppola,Vodka Lemonade,15297,6oz29mq1MqZYIwxsUrvvwn,0.297,0.346,0.381,6,0.0,0.0863,-12.74,0,0.0789,0.317,145.606,4
2021-02-16 12:00,DeVries,If I Like You,7720,4v7DgEMw6EvYyuQ4eWFD9l,0.189,0.735,0.584,1,0.0,0.125,-5.047,1,0.14,0.395,93.016,4
2021-02-16 12:00,Hand Made House,In Bloom,2350,30HCB1FoE77IfGRyNv4eFq,3.33e-05,0.436,0.876,10,0.000104,0.205,-4.902,0,0.0647,0.512,157.044,4
