end_time,artist_name,track_name,ms_played,id
2021-02-16 13:16,FINNEAS,Can't Wait To Be Dead,175969,
2021-02-18 05:18,Khalid,Don't Pretend (feat. SAFE),14677,
2021-02-19 18:55,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",78487,
2021-02-21 07:04,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),233613,
2021-02-22 12:29,ayokay,Don't Wanna Be Your Friend (feat. Katie Pearlman),930,
2021-02-22 12:33,The Joe Rogan Experience,#1610 - Snowpocalypse with Tim Dillon,10110,
2021-02-22 13:01,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-02-23 13:18,The Joe Rogan Experience,#1610 - Snowpocalypse with Tim Dillon,2354128,
2021-02-23 13:28,The Joe Rogan Experience,#1609 - Elon Musk,578053,
2021-02-25 20:36,The Joe Rogan Experience,#1608 - Michael Malice,6884,
2021-02-25 20:50,The Joe Rogan Experience,#1609 - Elon Musk,241974,
2021-02-25 22:32,The Joe Rogan Experience,#1609 - Elon Musk,826695,
2021-02-26 12:36,The Joe Rogan Experience,#1609 - Elon Musk,788954,
2021-02-26 20:41,The Joe Rogan Experience,#1609 - Elon Musk,679037,
2021-02-27 03:24,MAGIC!,Don't Kill the Magic,25241,
2021-02-27 04:29,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229147,
2021-02-27 16:17,The Joe Rogan Experience,#1609 - Elon Musk,1792070,
2021-03-03 00:44,Elton John,I've Seen That Movie Too - Remastered 2014,357658,
2021-03-04 00:34,The Beatles,Can't Buy Me Love - Remastered 2009,133107,
2021-03-04 00:58,The Beatles,You've Got To Hide Your Love Away - Remastered 2009,131307,
2021-03-04 01:27,The Beatles,You've Got To Hide Your Love Away - Remastered 2009,8561,
2021-03-04 01:28,The Beatles,Can't Buy Me Love - Remastered 2009,12195,
2021-03-04 02:42,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),199488,
2021-03-05 01:46,Led Zeppelin,D'yer Mak'er - 1990 Remaster,162241,
2021-03-09 03:49,The Joe Rogan Experience,#1609 - Elon Musk,122403,
2021-03-11 19:52,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),233613,
2021-03-13 06:03,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),233613,
2021-03-13 06:26,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229147,
2021-03-16 03:12,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),13706,
2021-03-16 03:16,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-03-17 11:57,Kanye West,Wouldn't Leave,7990,
